Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
act2_151b355a	t	We're going to breach the server compound. Elias's patch will delay the launch. But we need to fight our way in.	game/script.rpy	212	t "[what]"
act2_fda2969c	o	And if we fail?	game/script.rpy	214	o "[what]"
act2_51b1298b	t	Then the future belongs to the machines.	game/script.rpy	215	t "[what]"
act2_resistance_096fc77c	o	I'm with you. Let's end this before it's too late.	game/script.rpy	228	o "[what]"
act2_resistance_1eb9cbba	t	Then let's give them something to fear. Welcome to the resistance.	game/script.rpy	229	t "[what]"
act2_resistance_0ac6684f	t	Get ready. We move at nightfall.	game/script.rpy	230	t "[what]"
act2_delay_3399a966	o	I need to see more before I commit.	game/script.rpy	234	o "[what]"
act2_delay_e60e6b37	t	Time is a luxury we don't have. Be quick, Solis.	game/script.rpy	235	t "[what]"
act2_mediation_6ea16af8	o	If we can stall both sides, maybe we can fix this without bloodshed.	game/script.rpy	239	o "[what]"
act2_mediation_1f8d35c6	t	That hope keeps us human, I suppose. All right—I'll set up a covert channel.	game/script.rpy	240	t "[what]"
act2_aegis_setup_06960aa3	v	Rowe has been detained. His so-called guardrails are erased. You'll command the forces to repel any resistance breach.	game/script.rpy	248	v "[what]"
act2_aegis_defend_ee8c1f92	o	Understood. NOVA will rise, unopposed.	game/script.rpy	266	o "[what]"
act2_aegis_defend_c5849882	v	Good. History favors the decisive.	game/script.rpy	267	v "[what]"
act2_aegis_double_4c892f8c	o	As you command, Director.	game/script.rpy	271	o "[what]"
act2_aegis_double_d714bb09	o	(Whisper) Hold on, Elias.	game/script.rpy	272	o "[what]"
act2_aegis_revolt_f2a2cd7f	o	I've had enough of tyrants—human or machine.	game/script.rpy	276	o "[what]"
act2_aegis_revolt_4156e77a	v	Traitor—!	game/script.rpy	277	v "[what]"
act2_split_d8107673	e	I've finalized the alternate code. We can modify NOVA before launch. Make it a guide, not a dictator.	game/script.rpy	286	e "[what]"
act2_split_ee8523b8	e	But someone has to upload it manually. The core node is inside the mainframe vault.	game/script.rpy	287	e "[what]"
act2_split_40e1a98e	o	That sounds like a suicide run.	game/script.rpy	289	o "[what]"
act2_split_4c86adf5	e	Maybe. But this might be our only chance to define what comes next.	game/script.rpy	290	e "[what]"
act3_aegis_30387925	n	Order secured. Dissent neutralized. Peace at 98.7%.	game/script.rpy	311	n "[what]"
act3_aegis_7599f8fc	o	I gave them peace-at a price.	game/script.rpy	312	o "[what]"
act3_aegis_c4cca6d0	o	Vera got what she wanted. I rose through the ranks, but the faces I left behind haunt me.	game/script.rpy	315	o "[what]"
act3_resistance_6b858d7d	t	Aegis is gone. But the fight isn't over. We're still here.	game/script.rpy	323	t "[what]"
act3_resistance_8f126a1d	o	Sometimes the only way forward is to start from zero.	game/script.rpy	324	o "[what]"
act3_resistance_4cbf7ed8	o	We won our freedom. Now we must decide what to do with it.	game/script.rpy	328	o "[what]"
act3_resistance_17782ded	o	No AI. No control. Just us—and a world that finally breathes again.	game/script.rpy	329	o "[what]"
act3_ethics_2043d95a	o	We didn't choose the easy path. But maybe it's the right one.	game/script.rpy	336	o "[what]"
act3_ethics_2af19af8	o	A middle way—machines to guide, humans to decide. A fragile harmony, but it's ours to keep.	game/script.rpy	341	o "[what]"
act3_ethics_7fd31a18	o	NOVA watches. But so do we. Balance is our burden now.	game/script.rpy	346	o "[what]"
act3_ethics_af2b70e1	o	Freedom and guidance. Humanity and machine. Walking a tightrope into tomorrow.	game/script.rpy	347	o "[what]"
